gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
ZNF16	1.4876	1.2898	4.7471	4.67	2.3718	2.3925	2.2819	1.578	3.9068	2.258	0.0	0.0
ZNF160	8.1479	4.0747	5.0789	7.6757	5.0541	4.5364	9.4305	3.8042	3.5948	5.2202	0.0	0.0
ZNF165	0.0	0.0	1.4047	1.8561	0.0	0.0	1.2698	1.1022	0.0	0.0	0.0	0.0
ZNF169	0.0	1.5531	1.3868	2.4473	0.0	0.0	3.0839	0.0	1.0466	0.0	0.0	0.0
ZNF17	0.0	0.0	2.0659	1.5165	0.0	1.0648	2.1271	0.0	3.1422	1.7357	0.0	0.0
ZNF174	1.6064	1.5361	3.5134	2.6677	2.2267	2.9335	2.8259	1.0654	4.0027	4.1318	0.0	0.0
ZNF175	0.0	0.0	1.2791	1.0852	0.0	1.0568	2.3052	0.0	2.0199	1.1347	0.0	0.0
ZNF177	2.8935	0.0	0.0	1.4585	1.0258	0.0	0.0	1.4808	0.0	1.3147	0.0	0.0
ZNF18	3.5547	2.7877	3.3693	2.4448	2.1634	1.5047	2.7509	2.0594	2.9324	1.6682	0.0	0.0
ZNF180	1.4841	0.0	2.3919	2.9453	1.0992	2.8118	2.6747	1.097	1.4078	1.0889	0.0	0.0
ZNF181	2.2846	4.5318	2.9663	7.5031	2.9632	6.7082	4.6528	3.2215	15.1535	4.1276	0.0	1.4152
ZNF182	2.6461	1.1511	1.1762	1.6294	1.6656	1.0669	1.6478	1.9425	1.0376	1.0792	0.0	0.0
ZNF184	0.0	0.0	1.2078	1.0939	0.0	0.0	1.4056	0.0	1.5929	0.0	0.0	0.0
ZNF189	12.2149	1.2685	2.6252	11.3006	2.6103	3.7848	4.0999	4.3915	4.4034	7.1271	0.0	1.4881
ZNF19	0.0	0.0	0.0	2.8854	0.0	0.0	1.3083	1.9877	0.0	0.0	0.0	0.0
ZNF195	7.1404	2.0337	5.7932	9.3562	5.4031	3.4927	9.1851	5.6542	11.6043	4.4321	1.0697	2.6287
ZNF197	3.3993	1.6244	3.0635	4.1691	2.2734	2.8225	3.6359	1.9511	5.2487	2.9803	0.0	0.0
ZNF2	0.0	0.0	0.0	1.2538	0.0	0.0	1.1445	0.0	1.7406	1.1021	0.0	0.0
ZNF20	1.0418	0.0	1.0067	0.0	0.0	0.0	1.9095	0.0	0.0	0.0	0.0	0.0
ZNF200	1.9798	0.0	1.914	1.6326	1.15	1.6763	3.8024	0.0	1.4995	1.739	0.0	0.0
ZNF202	3.4468	1.3913	3.6642	4.2826	2.3129	1.4575	3.7819	3.3569	6.978	2.4915	0.0	0.0
ZNF204P	3.7895	3.2619	2.399	3.1117	3.9955	0.0	2.5025	5.261	1.8685	1.717	0.0	0.0
ZNF205	12.7273	8.5584	6.5299	14.0043	7.0015	4.7512	7.4286	5.9424	3.496	9.3408	0.0	2.1693
ZNF207	23.1361	18.3924	84.2952	46.2958	18.6557	30.3162	69.4281	10.9348	46.974	31.804	3.5665	5.0612
ZNF208	0.0	1.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9642	0.0	0.0
ZNF211	7.7999	2.3776	2.9843	2.2958	4.1004	1.6227	3.7618	3.5858	2.3008	3.5594	0.0	1.0913
ZNF212	4.5459	2.4516	6.9453	2.982	2.5379	3.0297	3.5035	3.3692	2.5356	2.3093	0.0	1.5216
ZNF213	3.9197	1.3128	4.9867	5.7496	2.4724	1.3832	6.7914	1.5018	12.7956	6.7061	0.0	1.2167
ZNF214	0.0	0.0	0.0	1.0409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
